artist,track_or_project_title,release_type,confidence_score,extraction_method,source_article_title,source_article_url,source_name,article_date,embedded_music_links,release_article
Felix Jaehn,BANG BANG,single,1.0,spotify_playlist_api,Felix Jaehn - BANG BANG,https://open.spotify.com/track/0eJSm2G0t3XX4SUuU1aSaH,Spotify Playlist,2025-08-22,https://open.spotify.com/track/0eJSm2G0t3XX4SUuU1aSaH,True
Marlon Hoffstadt,Hold You Close,single,1.0,spotify_playlist_api,Marlon Hoffstadt - Hold You Close,https://open.spotify.com/track/3oAkenLgVAQNhZMYPr2xQx,Spotify Playlist,2025-11-28,https://open.spotify.com/track/3oAkenLgVAQNhZMYPr2xQx,True
bbyclose,ego,single,1.0,spotify_playlist_api,bbyclose - ego,https://open.spotify.com/track/5PBTKRzy7645Er3nPxTWWK,Spotify Playlist,2025-10-24,https://open.spotify.com/track/5PBTKRzy7645Er3nPxTWWK,True
NOTION,WAITING,single,1.0,spotify_playlist_api,NOTION - WAITING,https://open.spotify.com/track/4K4itwcuTopegq8qWQnRzk,Spotify Playlist,2025-10-31,https://open.spotify.com/track/4K4itwcuTopegq8qWQnRzk,True
HAYLA,FADED,single,1.0,spotify_playlist_api,HAYLA - FADED,https://open.spotify.com/track/0OSKN4D9kXEunDf89augTt,Spotify Playlist,2025-11-14,https://open.spotify.com/track/0OSKN4D9kXEunDf89augTt,True
The Chemical Brothers,Block Rockin' Beats - Don Diablo Remix,single,1.0,spotify_playlist_api,The Chemical Brothers - Block Rockin' Beats - Don Diablo Remix,https://open.spotify.com/track/4mIQn3WT3fW0XqaMVRvMl0,Spotify Playlist,2025-11-07,https://open.spotify.com/track/4mIQn3WT3fW0XqaMVRvMl0,True
Enzo Siffredi,Another Day,single,1.0,spotify_playlist_api,Enzo Siffredi - Another Day,https://open.spotify.com/track/1iVpDutVYrfTdbyCEhqBiU,Spotify Playlist,2025-11-21,https://open.spotify.com/track/1iVpDutVYrfTdbyCEhqBiU,True
Diffrent,For Me,single,1.0,spotify_playlist_api,Diffrent - For Me,https://open.spotify.com/track/1lJh7RbM1ZzRaFRI5o6Asp,Spotify Playlist,2025-11-14,https://open.spotify.com/track/1lJh7RbM1ZzRaFRI5o6Asp,True
Kungs,Nasty,single,1.0,spotify_playlist_api,Kungs - Nasty,https://open.spotify.com/track/1sKLFVc86oelMYuXvZ4LBg,Spotify Playlist,2025-11-14,https://open.spotify.com/track/1sKLFVc86oelMYuXvZ4LBg,True
Jazzy,No Bad Vibes,single,1.0,spotify_playlist_api,Jazzy - No Bad Vibes,https://open.spotify.com/track/0t2VriRu69DxI5inzSt9tK,Spotify Playlist,2025-03-21,https://open.spotify.com/track/0t2VriRu69DxI5inzSt9tK,True
Marlon Hoffstadt,Daddy's In The Club,EP,1.0,spotify_playlist_api,Marlon Hoffstadt - Daddy's In The Club,https://open.spotify.com/track/6YerwnfrVGahU53mFpXjvB,Spotify Playlist,2025-07-11,https://open.spotify.com/track/6YerwnfrVGahU53mFpXjvB,True
Miss Bashful,Miss Icónica,single,1.0,spotify_playlist_api,Miss Bashful - Miss Icónica,https://open.spotify.com/track/15LkNJpMMSJJ5ZfdLMYpXO,Spotify Playlist,2025-10-03,https://open.spotify.com/track/15LkNJpMMSJJ5ZfdLMYpXO,True
DJ MUCA,MEGA YOU WILL SEE,single,1.0,spotify_playlist_api,DJ MUCA - MEGA YOU WILL SEE,https://open.spotify.com/track/6VcAfcGXL4jxFq4Hxk56wm,Spotify Playlist,2025-02-28,https://open.spotify.com/track/6VcAfcGXL4jxFq4Hxk56wm,True
Lumarii,The Way I Are,single,1.0,spotify_playlist_api,Lumarii - The Way I Are,https://open.spotify.com/track/0BLSiHuflmUgukXFAuANNj,Spotify Playlist,2025-11-07,https://open.spotify.com/track/0BLSiHuflmUgukXFAuANNj,True
