artist_name,soundcloud_url,soundcloud_user_id,genres,edm_match_terms,followers_count,track_count,country,city
SOMMA,https://soundcloud.com/somma_dj?utm_medium=api&utm_campaign=social_sharing&utm_source=id_319429,993961204,"Deep House | Electronic | House | LE YORA"" SOMMA ""THE BLAZE"" TERRITORY Remix ""melodic house"" ""deep house"" ""afro house"" house | SOMMA | Dance - Melodic House & Techno | Deep House"" ""Afro House",afro house | dance | deep house | electronic | house | melodic house | techno,6259,16,Germany,Berlin
Astrid S,https://soundcloud.com/astridsofficial?utm_medium=api&utm_campaign=social_sharing&utm_source=id_319429,108967187,Pop | Singer-songwriter | Dance,dance,18489,120,Norway,Oslo
trankilo,https://soundcloud.com/trankilomp3?utm_medium=api&utm_campaign=social_sharing&utm_source=id_319429,975914959,"Electronic | Disco | tyla water"" ""tyla disco remix"" ""tyla lofi remix"" ""tyla water remix"" trankilo Disco lofi",electronic,77,28,,
YellowStraps,https://soundcloud.com/yellowstraps?utm_medium=api&utm_campaign=social_sharing&utm_source=id_319429,44990655,Pop | Dance,dance | trap,8709,88,Belgium,Brussels
SOFI TUKKER,https://soundcloud.com/sofitukker?utm_medium=api&utm_campaign=social_sharing&utm_source=id_319429,89976780,Dance | Bossa Nova,dance,107142,232,,
Sigala,https://soundcloud.com/sigalamusic?utm_medium=api&utm_campaign=social_sharing&utm_source=id_319429,19632355,House | Dance | Pop,dance | house,64873,158,,
TOBER,https://soundcloud.com/sam-tober?utm_medium=api&utm_campaign=social_sharing&utm_source=id_319429,71129508,"Dance & EDM | hockey warmup mix ""air force"" falcons | summer ""house music"" edm vibe ""piano house"" party dance | ain't no laws"" ""big bootie"" ""power hour"" mashup mix ""white claw"" workout bigbootie tober ""two friends"" dayger | Deep House"" Edm House Party | dance edm house ""piano house"" summer love remix | future house"" remix summer audien melodic party | ain't no laws"" ""big bootie"" mashup mix party ""white claw"" workout tober ""power hour"" dayger summer frat | Tech House",dance | deep house | edm | future house | house | tech house,6247,23,,"New York, NY"
Knock2,https://soundcloud.com/knock2music?utm_medium=api&utm_campaign=social_sharing&utm_source=id_319429,170729463,Dance & EDM | nolimit,dance | edm,77169,38,,san diego
Kenya Grace,https://soundcloud.com/kenyagrace?utm_medium=api&utm_campaign=social_sharing&utm_source=id_319429,143769693,Dance | Pop,dance,51378,33,,
Yung Bae,https://soundcloud.com/yungestbae?utm_medium=api&utm_campaign=social_sharing&utm_source=id_319429,46690142,"Electronic | House | DANCE & DJ | ELECTRONICA | Disco | disco ""future funk"" ""yung bae"" goyo ""dj set"" ""city pop",club | dance | electronic | electronica | house,112991,105,,
